Year,Annual_CPI,annual_poverty-level_wage,hourly_poverty-level_wage,share_below_poverty_wages,300%+_of_poverty_wages,men_share_below_poverty_wages,men_300%+_of_poverty_wages,women_share_below_poverty_wages,women_300%+_of_poverty_wages,white_share_below_poverty_wages,white_men_share_below_poverty_wages,white_women_share_below_poverty_wages,black_share_below_poverty_wages,black_men_share_below_poverty_wages,black_women_share_below_poverty_wages,hispanic_share_below_poverty_wages,hispanic_men_share_below_poverty_wages,hispanic_women_share_below_poverty_wages,GDP_Per_Capita,diff_poverty_share
1973,44.4,4701,2.26,25.6,9.0,15.4,13.6,40.1,2.4,23.8,13.7,38.5,37.3,25.3,50.6,34.9,27.1,48.2,6726.36,24.700000000000003
1974,49.31,5158,2.48,24.3,8.9,14.3,13.5,38.6,2.3,22.7,12.8,37.0,34.6,22.8,47.4,33.7,24.5,49.7,7225.69,24.3
1975,53.82,5595,2.69,25.9,8.7,16.0,13.1,39.7,2.5,24.2,14.4,38.2,36.7,25.1,49.1,35.0,27.3,47.5,7801.46,23.700000000000003
1976,56.91,5914,2.84,25.1,9.0,15.6,13.6,38.0,2.8,23.6,14.1,36.7,34.8,23.8,46.2,34.8,27.2,46.3,8592.25,22.4
1977,60.61,6284,3.02,26.9,8.7,17.1,13.5,40.0,2.4,25.4,15.5,38.7,36.7,28.0,45.7,36.0,25.6,52.8,9452.58,22.9
1978,65.23,6718,3.23,26.0,9.1,16.2,14.3,38.7,2.3,24.5,14.7,37.5,35.5,25.2,46.0,32.6,23.8,46.5,10564.95,22.500000000000004
1979,72.58,7360,3.54,25.8,8.9,16.0,13.9,38.4,2.4,24.3,14.3,37.3,33.7,25.1,42.9,34.6,25.1,49.6,11674.18,22.4
1980,82.41,8181,3.93,25.7,8.8,16.1,13.8,37.6,2.4,24.2,14.4,36.5,34.1,25.3,43.0,33.6,25.3,46.5,12574.79,21.5
1981,90.92,8956,4.31,27.8,8.2,18.2,12.9,39.6,2.4,26.2,16.4,38.4,35.7,26.8,44.7,37.1,29.1,49.4,13976.11,21.400000000000002
1982,96.5,9499,4.57,28.3,9.1,19.3,14.3,38.9,2.8,26.6,17.3,37.8,36.9,29.3,44.4,37.5,30.6,47.7,14433.79,19.599999999999998
1983,99.6,9901,4.76,28.1,9.4,19.8,14.7,37.9,3.1,26.5,17.8,36.8,36.7,30.7,42.8,37.4,30.2,47.7,15543.89,18.099999999999998
1984,103.88,10317,4.96,26.5,10.1,18.4,15.5,36.0,3.6,24.7,16.4,34.7,35.0,28.0,41.8,35.9,29.2,45.1,17121.23,17.6
