Year,Chicago Population (millions),,,,,
1990,2.784,,,,,
1991,2.786,,,,,
1992,2.79,,,,,
1993,2.792,,,,,
1994,2.797,,,,,
1995,2.802,,,,,
1996,2.814,,,,,
1997,2.808,,,,,
1998,2.803,,,,,
1999,2.799,,,,,
2000,2.896,,,,,
2001,2.895,,,,,
2002,2.883,,,,,
2003,2.87,,,,,
2004,2.852,,,,,
2005,2.829,,,,,
2006,2.812,,,,,
2007,2.817,,,,,
2008,2.835,,,,,
2009,2.855,,,,,
2010,2.697,,,,,
2012,2.708,,,,,
2013,2.726,,,,,
2014,2.727,,,,,
2015,2.724,,,,,
2016,2.716,,,,,
2017,2.71,,,,,
2018,2.701,,,,,
