Year,GDP_Per_Capita
1973,6726.36
1974,7225.69
1975,7801.46
1976,8592.25
1977,9452.58
1978,10564.95
1979,11674.18
1980,12574.79
1981,13976.11
1982,14433.79
1983,15543.89
1984,17121.23
1985,18236.83
1986,19071.23
1987,20038.94
1988,21417.07
1989,22857.15
1990,23888.60
1991,24342.26
1992,25418.99
1993,26387.29
1994,27694.85
1995,28690.88
1996,29967.71
1997,31459.14
1998,32853.68
1999,34515.39
2000,36329.96
2001,37133.62
2002,37997.76
2003,39490.27
2004,41724.63
2005,44123.41
2006,46302.00
2007,48050.22
2008,48570.05
2009,47194.94
2010,48650.64
2011,50065.97
2012,51784.42
2013,53291.13
2014,55123.85
2015,56762.73
2016,57866.74
2017,59907.75
2018,62823.31
2019,65120.39
2020,63530.63
2021,70248.63
